city_key,n_obs,median_temperature_celsius,mean_temperature_celsius,frac_nan_temperature_celsius,median_humidity_percent,mean_humidity_percent,frac_nan_humidity_percent,median_precipitation_mm,mean_precipitation_mm,frac_nan_precipitation_mm,median_wind_speed_ms,mean_wind_speed_ms,frac_nan_wind_speed_ms,median_urban_heat_island_intensity,mean_urban_heat_island_intensity,frac_nan_urban_heat_island_intensity
Beijing_China_39.9042_116.4074,13,8.59,10.77846153846154,0.0,50.7,50.96153846153845,0.0,50.4,54.77692307692307,0.0,9.2,9.323076923076924,0.0,2.0,2.0,0.0
Berlin_Germany_52.52_13.405,13,2.57,-0.9015384615384617,0.0,60.4,60.06923076923078,0.0,48.1,58.176923076923075,0.0,8.4,8.684615384615384,0.0,1.0,1.0,0.0
São Paulo_Brazil_-23.5505_-46.6333,13,20.94,21.52307692307692,0.0,40.6,41.02307692307692,0.0,77.8,70.52307692307693,0.0,7.5,7.523076923076923,0.0,1.0,1.0,0.0
San Jose_USA_37.3382_-121.8863,13,11.99,10.646153846153847,0.0,42.9,38.93076923076923,0.0,57.9,61.784615384615385,0.0,6.0,6.776923076923077,0.0,1.0,1.0,0.0
San Diego_USA_32.7157_-117.1611,13,13.31,14.47307692307692,0.0,44.1,43.32307692307692,0.0,60.3,61.353846153846156,0.0,6.4,6.8076923076923075,0.0,1.0,1.0,0.0
San Antonio_USA_29.4241_-98.4936,13,16.2,16.58076923076923,0.0,63.5,62.94615384615384,0.0,61.6,78.31538461538462,0.0,8.4,8.246153846153847,0.0,1.0,1.0,0.0
Phoenix_USA_33.4484_-112.074,13,10.42,13.076153846153847,0.0,47.4,48.369230769230775,0.0,66.8,63.63846153846153,0.0,8.5,8.907692307692308,0.0,1.0,1.0,0.0
Philadelphia_USA_39.9526_-75.1652,13,10.28,9.540769230769232,0.0,51.5,49.93846153846154,0.0,57.5,58.97692307692307,0.0,7.8,8.184615384615384,0.0,1.0,1.0,0.0
Paris_France_48.8566_2.3522,13,-0.08,2.051538461538462,0.0,59.8,56.630769230769225,0.0,75.9,67.39999999999999,0.0,8.1,7.453846153846154,0.0,1.0,1.0,0.0
New York_USA_40.7128_-74.006,13,9.03,8.50153846153846,0.0,47.6,45.66923076923077,0.0,54.4,57.06153846153846,0.0,7.6,7.553846153846153,0.0,2.0,2.0,0.0
Mumbai_India_19.076_72.8777,13,26.15,25.147692307692303,0.0,37.1,37.823076923076925,0.0,72.0,70.96153846153847,0.0,7.7,7.515384615384615,0.0,1.0,1.0,0.0
Mexico City_Mexico_19.4326_-99.1332,13,26.05,24.50153846153846,0.0,55.2,54.0076923076923,0.0,68.1,68.5,0.0,8.9,7.923076923076921,0.0,1.0,1.0,0.0
Los Angeles_USA_34.0522_-118.2437,13,14.11,15.443076923076923,0.0,48.6,46.60769230769232,0.0,66.3,64.07692307692308,0.0,7.9,7.276923076923079,0.0,2.0,2.0,0.0
London_UK_51.5074_-0.1278,13,-0.14,-0.45615384615384624,0.0,48.5,46.638461538461534,0.0,55.0,57.67692307692307,0.0,6.9,6.776923076923078,0.0,1.0,1.0,0.0
Lagos_Nigeria_6.5244_3.3792,13,35.28,34.40461538461538,0.0,60.1,59.71538461538462,0.0,75.0,78.11538461538461,0.0,7.5,8.053846153846154,0.0,1.0,1.0,0.0
Houston_USA_29.7604_-95.3698,13,15.24,16.214615384615385,0.0,44.1,41.67692307692308,0.0,71.8,73.76923076923077,0.0,7.9,8.307692307692308,0.0,1.0,1.0,0.0
Delhi_India_28.7041_77.1025,13,19.91,18.05846153846154,0.0,39.7,36.04615384615385,0.0,61.8,78.7,0.0,7.5,7.66923076923077,0.0,2.0,2.0,0.0
Dallas_USA_32.7767_-96.797,13,17.43,14.673076923076923,0.0,60.5,60.46923076923077,0.0,43.8,52.023076923076914,0.0,7.3,7.361538461538462,0.0,1.0,1.0,0.0
Chicago_USA_41.8781_-87.6298,13,5.6,7.44076923076923,0.0,39.6,37.4076923076923,0.0,48.8,56.34615384615385,0.0,9.5,8.592307692307692,0.0,1.0,1.0,0.0
Tokyo_Japan_35.6762_139.6503,13,10.18,12.07,0.0,45.7,44.0,0.0,66.4,64.50769230769231,0.0,8.0,8.184615384615386,0.0,2.0,2.0,0.0
