Date,Monthly Mean Total Sunspot Number
1749-01-31,0.21978765837760886
1749-02-28,0.3317346460285697
1749-03-31,0.5143849943011902
1749-04-30,0.1623411778725104
1749-05-31,0.8826316642056667
1749-06-30,0.8458069972152191
1749-07-31,1.1227284929833858
1749-08-31,0.42305982016488
1749-09-30,0.6587376889037451
1749-10-31,0.6484267821464197
1749-11-30,2.688513333417221
1749-12-31,0.8870506242445206
1750-01-31,0.5953992616801751
1750-02-28,0.6587376889037451
1750-03-31,0.9857407317789203
1750-04-30,0.9636459315846516
1750-05-31,1.0048895586139532
1750-06-30,1.2508783341101435
1750-07-31,0.8914695842833745
1750-08-31,1.324527668091039
1750-09-30,1.0343492922063113
1750-10-31,0.4083299533687009
1750-11-30,0.3494104861839846
1750-12-31,0.6469537954668019
1751-01-31,0.5143849943011902
1751-02-28,-0.1366751180899247
1751-03-31,-0.09248551770138747
1751-04-30,0.18001701802792533
1751-05-31,0.28607205896041465
1751-06-30,0.040083283464224156
1751-07-31,0.42305982016488
1751-08-31,0.2639772587661461
1751-09-30,-0.6271796824026876
1751-10-31,-0.6345446158007771
1751-11-30,-0.5049217879944015
1751-12-31,-0.12489122465298147
1752-01-31,-0.3458392265956675
1752-02-29,0.022407443308809234
1752-03-31,0.5379527811750767
1752-04-30,0.2507203786495848
1752-05-31,0.26103128540691023
1752-06-30,-0.23241925226508864
1752-07-31,0.720603129447697
1752-08-31,-0.4857729611593687
1752-09-30,-0.5388004816256132
1752-10-31,-0.060079810749793475
1752-11-30,-0.2810278126924795
1752-12-31,-0.22210834550776323
1753-01-31,-0.12489122465298147
1753-02-28,-0.41948856057656286
1753-03-31,-0.08217461094406207
1753-04-30,-0.27218989261477217
1753-05-31,-0.32079845304216303
1753-06-30,-0.4268534939746524
1753-07-31,-0.6640043493931354
1753-08-31,-0.2471491190612677
1753-09-30,-0.5167056814313447
1753-10-31,-0.59035501541224
1753-11-30,-0.7140858965001442
1753-12-31,-1.0396159526957016
1754-01-31,-1.2045904608129072
1754-02-28,-1.130941126832012
1754-03-31,-1.163346833783606
1754-04-30,-0.8687494978600245
1754-05-31,-0.6964100563447293
1754-06-30,-0.5491113883829386
1754-07-31,-0.7435456300925024
1754-08-31,-0.9026281914912363
1754-09-30,-1.0027912857052539
1754-10-31,-0.6124498156065086
1754-11-30,-0.8805333912969677
1754-12-31,-1.1014813932396537
1755-01-31,-0.9541827252778631
1755-02-28,-0.9291419517243585
1755-03-31,-1.0381429660160837
1755-04-30,-1.0455078994141733
1755-05-31,-1.2045904608129072
1755-06-30,-1.2045904608129072
